national_tmed,national_tmin,national_tmax
10.64537823,6.72775316,14.5655239
8.267779357,4.55590685,11.98823262
9.03251386,4.398560431,13.68462077
9.885302561,3.143980829,16.61294837
11.93854121,5.664089158,18.22209082
10.79249868,5.526727909,16.04731861
10.21071846,4.224241328,16.21182763
7.417190366,3.60265736,11.22641911
7.796942975,3.117807526,12.48474679
7.929694719,3.06435642,12.7905746
8.140624624,3.595761721,12.68763796
8.587948148,3.078600108,14.09115698
8.577710558,3.20305555,13.95711161
9.353722483,3.885188069,14.83299541
9.763679239,4.203004557,15.32843324
9.567376146,4.210180318,14.92112099
9.960850297,5.33456939,14.59531163
10.27277173,6.205992738,14.36866926
10.33490405,5.989254569,14.68879755
10.18662613,5.007221486,15.38125117
10.95435087,4.240296992,17.66587374
12.14571352,6.371834674,17.89674187
12.59414391,7.62402827,17.57254199
14.16731684,8.231827329,20.0975861
14.23205879,7.369631687,21.07508949
10.75097255,6.107286696,15.40342837
9.171391869,3.90459734,14.4564469
10.59909242,7.759511743,13.40620652
11.18481696,7.698014054,14.65738596
12.83632082,6.888795538,18.80279978
12.80705393,6.900677795,18.71951611
10.09339282,5.417820243,14.77662144
11.58369025,6.91492403,16.28929809
12.3352577,7.843919955,16.85372029
13.09039901,8.240507656,17.95062959
14.31663133,8.519510644,20.08751369
14.46323441,9.171021531,19.77048459
14.26477068,8.299007971,20.23099477
13.8685947,9.747593109,17.96188656
13.2135474,9.334189376,17.08664456
13.35360266,8.289745809,18.42030849
13.67226403,9.383635852,17.96922699
12.8177018,6.440616065,19.19621118
14.41113012,7.884206915,20.95739439
14.00621393,9.137017723,18.87262466
13.13903137,9.02467328,17.23041952
13.33195073,8.554396049,18.09063697
13.91333924,5.923917665,21.90223555
15.93669502,8.286713974,23.58855258
17.05121763,9.770635597,24.34379474
15.92442697,10.80775011,21.03310754
14.48961103,11.10395279,17.88764583
13.63720634,10.0531279,17.24322379
13.16595964,9.069004636,17.24372663
13.19532537,8.678315844,17.69773372
13.46251858,9.447725055,17.45702577
13.73241117,9.482387125,17.99475519
16.25233315,10.11388341,22.41231687
16.66338434,10.80396679,22.51500478
17.37541947,11.43054928,23.29585081
17.82779746,11.90949624,23.77348165
18.69381189,11.92525792,25.47467688
15.80362689,9.133951831,22.48571411
17.45466745,11.48647399,23.42391795
17.51981727,12.5825362,22.46273697
18.03071803,12.34018648,23.73155578
18.51032703,12.30767661,24.72240142
16.89369233,11.05821073,22.72112319
17.28131457,10.94460537,23.60857028
18.02587851,10.61965636,25.42534082
18.94867296,11.74348404,26.14077542
19.79474205,13.7632662,25.83048221
20.90989578,14.51968136,27.28595821
22.15731406,15.03837508,29.26662864
23.50680232,16.02779399,31.00187646
24.12195305,17.2160529,31.01407232
22.12745469,16.65202724,27.58686755
22.93758255,16.85594546,29.01651303
21.42731319,15.88203662,26.98066771
18.59303127,13.75384911,23.43908008
16.94265386,12.20383395,21.68578589
17.36419169,11.49824678,23.23273468
21.07052105,13.55886031,28.57791179
22.87703899,15.55445779,30.19264229
23.7861276,16.4601025,31.12815632
23.63361098,16.51957141,30.74252225
23.52315704,16.95969605,30.10405541
22.14097147,15.45151722,28.81014268
23.50571014,17.10120739,29.90888966
23.86397149,17.97268791,29.77420042
23.58439722,17.10089661,30.08863355
23.71092103,17.42034862,30.01881964
23.82049052,17.79025415,29.86343683
24.5013435,18.25338945,30.74804847
24.85042065,18.55212145,31.13435781
24.01154222,18.47453314,29.53636565
25.19712999,18.71896854,31.68398368
25.66632832,19.69018156,31.65075589
23.73626634,17.6730909,29.80780578
21.64021899,15.76159352,27.51081025
21.28512614,14.56555031,28.01358204
21.86763587,14.77908458,28.96788929
25.4164629,17.79664992,33.042743
25.96743123,18.42273569,33.48981303
26.15314467,20.10173563,32.18465784
25.407123,19.05203944,31.77485809
23.64002199,17.77590785,29.50783733
25.54286309,18.2840968,32.81888997
26.35400537,19.21664485,33.48153605
25.53819716,19.25012953,31.82711834
25.58332665,18.75810367,32.39263774
26.12505757,19.3439629,32.91241736
24.39791383,17.83561703,30.92426394
25.23439148,17.97907871,32.48172583
25.87312029,18.84668692,32.88662173
